z,fgas,logM*,SFR,gas tracer,study,Is fgas an upper limit,logMgas
0.03455,0.3333,10.2,6.62,CO(1-0),Saintonge et al. (2017),0,9.7229
0.03456,0.087,10.53,1.82,CO(1-0),Saintonge et al. (2017),0,9.4693
0.03468,0.0989,10.42,3.57,CO(1-0),Saintonge et al. (2017),0,9.4152
0.03485,0.0204,10.64,0.11,CO(1-0),Saintonge et al. (2017),1,8.9498
0.03486,0.0101,11.04,0.07,CO(1-0),Saintonge et al. (2017),1,9.0444
0.03501,0.087,10.95,3.47,CO(1-0),Saintonge et al. (2017),0,9.8893
0.03502,0.1628,10.29,1.36,CO(1-0),Saintonge et al. (2017),0,9.5016
0.03508,0.1494,10.42,4.5,CO(1-0),Saintonge et al. (2017),0,9.5944
0.03516,0.0204,10.51,0.08,CO(1-0),Saintonge et al. (2017),1,8.8198
0.03541,0.0526,10.71,3.74,CO(1-0),Saintonge et al. (2017),0,9.4312
0.0355,0.0526,10.28,2.41,CO(1-0),Saintonge et al. (2017),0,9.0012
0.03554,0.0753,10.16,14.45,CO(1-0),Saintonge et al. (2017),0,9.0366
0.03554,0.2048,10.64,7,CO(1-0),Saintonge et al. (2017),0,9.9514
0.03557,0.0101,10.79,1.28,CO(1-0),Saintonge et al. (2017),1,8.7944
0.03565,0.0204,10.57,0.08,CO(1-0),Saintonge et al. (2017),1,8.8798
0.03567,0.0101,10.81,0.08,CO(1-0),Saintonge et al. (2017),1,8.8144
0.03577,0.2346,10.1,2.14,CO(1-0),Saintonge et al. (2017),0,9.4703
0.03581,0.0101,11.13,0.07,CO(1-0),Saintonge et al. (2017),1,9.1344
0.03599,0.1111,10.05,1.24,CO(1-0),Saintonge et al. (2017),0,9.0958
0.036,0.0417,10.26,0.05,CO(1-0),Saintonge et al. (2017),1,8.8798
0.03603,0.0101,10.97,2.97,CO(1-0),Saintonge et al. (2017),1,8.9744
0.03607,0.0101,11.03,0.17,CO(1-0),Saintonge et al. (2017),1,9.0344
